internal_name,czech,english,french,spanish
"transits_aspects_preset_modern_desc","Hlavní aspekty a vybrané vedlejší aspekty","Major aspects plus selected minor aspects","Aspects majeurs et aspects mineurs sélectionnés","Aspectos mayores y aspectos menores seleccionados"
"transits_aspects_preset_transits_name","Tranzity","Transits","Transits","Tránsitos"
"transits_aspects_preset_transits_desc","Hlavní aspekty pro tranzitní zobrazení","Major aspects for transit view","Aspects majeurs pour l'affichage des transits","Aspectos mayores para la vista de tránsitos"
"transits_aspects_preset_stars_name","Stálice","Fixed stars","Étoiles fixes","Estrellas fijas"
"transits_aspects_preset_stars_desc","Pouze konjunkce pro práci se stálicemi","Conjunction only, for working with fixed stars","Conjonction seule, pour travailler avec les étoiles fixes","Solo conjunción, para trabajar con estrellas fijas"
"transits_aspects_preset_harmonic_name","Harmonická astrologie","Harmonic astrology","Astrologie harmonique","Astrología armónica"
"transits_aspects_preset_harmonic_desc","Výběr aspektů podle harmonických řad","Aspect selection by harmonic series","Sélection d'aspects par série harmonique","Selección de aspectos por serie armónica"
"transits_aspects_apply_preset","Použít","Apply","Appliquer","Aplicar"
"transits_aspects_panel_title","Vybrané aspekty","Selected aspects","Aspects sélectionnés","Aspectos seleccionados"
"transits_aspects_empty_title","Žádné aspekty nejsou vybrané","No aspects selected","Aucun aspect sélectionné","Ningún aspecto seleccionado"
"transits_aspects_empty_hint","Vyberte aspekty, které chcete zobrazit v aktuálním výpočtu tranzitů.","Select the aspects you want to include in the current transit calculation.","Sélectionnez les aspects à inclure dans le calcul de transits actuel.","Seleccione los aspectos que desea incluir en el cálculo de tránsitos actual."
"aspect_sextile","Sextil","Sextile","Sextil","Sextil"
"aspect_square","Kvadratura","Square","Carré","Cuadratura"
"aspect_trine","Trigon","Trine","Trine","Trino"
"aspectarium_absolute_longitude","Absolutní délka","Absolute longitude","Longitude absolue","Longitud absoluta"
"aspectarium_angle","Úhel","Angle","Angle","Ángulo"
"aspectarium_applying","Aplikační","Applying","Applicatif","Aplicativo"
"aspectarium_body_a","Těleso A","Body A","Corps A","Cuerpo A"
"aspectarium_body_b","Těleso B","Body B","Corps B","Cuerpo B"
"aspectarium_exact_angle","Přesný úhel","Exact angle","Angle exact","Ángulo exacto"
"aspectarium_no_aspects","Pro aktuální výběr nejsou k dispozici žádné vypočtené aspekty.","No computed aspects are available for the current selection.","Aucun aspect calculé n’est disponible pour la sélection actuelle.","No hay aspectos calculados disponibles para la selección actual."
"aspectarium_position","Poloha","Position","Position","Posición"
"aspectarium_reported_aspects","Vypočtené vztahy pro vybraná tělesa","Computed relations for the selected bodies","Relations calculées pour les corps sélectionnés","Relaciones calculadas para los cuerpos seleccionados"
"aspectarium_select_aspect_hint","Klikněte na vyplněnou buňku aspektu a zobrazí se detail vpravo.","Select a populated aspect cell to inspect its details.","Sélectionnez une cellule d’aspect remplie pour afficher le détail.","Seleccione una celda de aspecto rellena para ver el detalle."
"aspectarium_separating","Separativní","Separating","Séparatif","Separativo"
"aspectarium_all_planets","Všechny planety","All planets","Toutes les planètes","Todos los planetas"
"aspectarium_all_aspects","Všechny aspekty","All aspects","Tous les aspects","Todos los aspectos"
"aspectarium_none_selected","Nic nevybráno","None selected","Aucun élément sélectionné","Nada seleccionado"
"aspectarium_selected_count","Vybráno: {{count}}","{{count}} selected","{{count}} sélectionnés","{{count}} seleccionados"
"aspectarium_search_planets","Hledat planety…","Search planets…","Rechercher des planètes…","Buscar planetas…"
"aspectarium_search_aspects","Hledat aspekty…","Search aspects…","Rechercher des aspects…","Buscar aspectos…"
"aspectarium_select_all","Vybrat vše","Select all","Tout sélectionner","Seleccionar todo"
"aspectarium_clear_all","Zrušit výběr","Clear all","Tout désélectionner","Borrar selección"
"aspectarium_orb_default","Výchozí","Default","Par défaut","Predeterminado"
"aspectarium_orb_tight","Těsný","Tight","Serré","Estrecho"
"aspectarium_orb_normal","Normální","Normal","Normal","Normal"
"aspectarium_orb_wide","Široký","Wide","Large","Amplio"
"aspectarium_orb_custom","Vlastní","Custom","Personnalisé","Personalizado"
"aspectarium_view_table","Tabulka","Table","Tableau","Tabla"
"aspectarium_view_list","Seznam","List","Liste","Lista"
"aspects","Zobrazení Aspektária","Aspects","Aspects","Aspectos"
"aspects_aspects","Aspektárium","Aspects","Aspects","Aspectos"
"aspects_table_area","Tabulka aspektů","Aspects table area","Table des aspects","Tabla de aspectos"
"astrolabe","Astroláb","Astrolabe","Astrolabe","Astrolabio"
"astrolabe_unit_day","den","day","jour","día"
"astrolabe_unit_hr","h","h","h","h"
"astrolabe_unit_min","min","min","min","min"
"astrolabe_unit_month","měsíc","month","mois","mes"
"astrolabe_unit_sec","s","s","s","s"
"astrolabe_unit_yr","rok","year","an","año"
"button_close","Zavřít","Close","Fermer","Cerrar"
"button_open_chart","Otevřít horoskop","Open chart","Ouvrir le thème","Abrir carta"
"button_search","Hledat","Search","Rechercher","Buscar"
"calculate","Vypočítat","Calculate","Calculer","Calcular"
"cancel","Zrušit","Cancel","Annuler","Cancelar"
"charts","Horoskopy","Charts","Thèmes","Cartas"
"clear","Vymazat","Clear","Effacer","Limpiar"
"column_bodies","Tělesa","Bodies","Corps","Cuerpos"
"column_time","Čas","Time","Heure","Hora"
"confirm","Potvrdit","Confirm","Confirmer","Confirmar"
"context_label","Kontext","Context","Contexte","Contexto"
"current","Aktuální horoskop","Current","Actuel","Actual"
"current_info_latitude","zeměpisná šířka","Latitude","Latitude","Latitud"
"current_info_longitude","zeměpisná délka","Longitude","Longitude","Longitud"
"current_info_timezone","časové pásmo","Timezone","Fuseau","Zona"
"dashboard_positions_picker_hint","Zde můžete vybrat, která tělesa a body se zobrazí v panelu Poloha.","Choose which points appear in the Positions panel.","Choisissez les points du panneau Position.","Elija qué puntos aparecen en el panel de posiciones."
"dashboard_positions_picker_title","Vybrat tělesa","Select bodies","Choisir les corps","Elegir cuerpos"
"dashboard_positions_scroll_hint","Scrollujte pro více","Scroll for more","Faites défiler pour plus","Desplácese para ver más"
"dashboard_no_positions","Zatím nejsou vypočtené žádné pozice.","No computed positions yet.","Aucune position calculée pour le moment.","Aún no hay posiciones calculadas."
"database_placeholder","Vlastní rozvržení pro vyhledávání osob","Custom layout for fetching specific persons","Mise en page personnalisée pour rechercher des personnes spécifiques","Diseño personalizado para buscar personas específicas"
"default_aspects","Výchozí aspekty","Default aspects","Aspects par défaut","Aspectos por defecto"
"default_location","Výchozí lokace","Default location","Lieu par défaut","Ubicación por defecto"
"demo_chart_coords","49N06´00 18E22´48","49N06´00 18E22´48","49N06´00 18E22´48","49N06´00 18E22´48"
"demo_chart_date_line","2. 12. 1987","2 Dec 1987","2 déc. 1987","2 dic. 1987"
"demo_chart_house_system","Tropický / Campanus","Tropical / Campanus","Tropical / Campanus","Tropical / Campanus"
"demo_chart_location","Pardubice","Pardubice","Pardubice","Pardubice"
"demo_chart_name","Pavel Malina","Pavel Malina","Pavel Malina","Pavel Malina"
"demo_chart_time_line","6:15:00 GMT+1:00 DTS","6:15:00 GMT+1:00 DST","6:15:00 GMT+1:00 DST","6:15:00 GMT+1:00 DST"
"details","Podrobné Informace","Details","Détails","Detalles"
"dynamic","Dynamický","Dynamic","Dynamique","Dinámico"
"element_air","Vzduch","Air","Air","Aire"
"element_earth","Země","Earth","Terre","Tierra"
"element_fire","Oheň","Fire","Feu","Fuego"
"element_water","Voda","Water","Eau","Agua"
"edit_radix_title","Upravit radix","Edit chart","Modifier le thème","Editar carta"
"edit_save_submit","Uložit horoskop","Save chart","Enregistrer le thème","Guardar carta"
"export","Export","Export","Exporter","Exportar"
"export_include","Zahrnout do exportu","Include in export","Inclure dans l'exportation","Incluir en exportación"
"export_include_aspects","Aspekty","Aspects","Aspects","Aspectos"
"export_include_info","Info","Info","Info","Info"
"export_include_location","Lokace","Location","Lieu","Ubicación"
"export_type_pdf","Export PDF","Export PDF","Exporter PDF","Exportar PDF"
"export_type_png","Export PNG","Export PNG","Exporter PNG","Exportar PNG"
"export_type_print","Tisk","Print","Imprimer","Imprimir"
"favorite","Oblíbené","Favorite","Favori","Favorito"
"house_system","Systém domů","House System","Système de Maisons","Sistema de Casas"
"house_system_whole_sign","Celoznamenný","Whole Sign","Signe entier","Signo entero"
"house_system_equal","Ekvální","Equal","Égal","Igual"
"info","Info","Info","Info","Info"
"info_angular_planet","Rohová planeta","Angular planet","Planète angulaire","Planeta angular"
"info_by_position","Polohou","By position","Par position","Por posición"
"info_detailed_planet_positions","Detailní informace o poloze planet","Detailed planet positions","Positions détaillées","Posiciones detalladas"
"info_dominance_aspects","Převaha aspektů","Aspect dominance","Dominance aspects","Dominancia de aspectos"
"info_dominance_element","Převaha živlu","Element dominance","Dominance élément","Dominancia de elemento"
"info_dominance_houses","Převaha v domech","House dominance","Dominance maisons","Dominancia de casas"
"info_dominance_mode_quality","Převaha modu/kvality znamení","Sign mode/quality dominance","Dominance mode/qualité","Dominancia de modo/cualidad"
"info_extroversion_introversion_ratio","Poměr extroverze a introverze","Extraversion–introversion ratio","Ratio extraversion–introversion","Ratio extraversión–introversión"
"info_final_dispositor","Finální dispozitor","Final dispositor","Dispositor final","Dispositor final"
"info_focal_planet","Obráběcí planeta","Focal planet","Planète focale","Planeta focal"
"info_focal_planets","Ohniskové planety","Focal planets","Planètes focales","Planetas focales"
"info_hemisphere_emphasis","Zdůraznění hemisféry","Hemisphere emphasis","Emphase hémisphère","Énfasis hemisférico"
"info_horoscope_ruler","Vládce horoskopu","Chart ruler","Maître du thème","Regente del horóscopo"
"info_horoscope_shape_diagram","Tvarový diagram horoskopu","Horoscope shape diagram","Diagramme de forme","Diagrama de forma"
"info_lunar_phases","Lunární fáze","Lunar phases","Phases lunaires","Fases lunares"
"info_mercury","Merkur","Mercury","Mercure","Mercurio"
"info_negative_aspects","Aspektů","Aspects","Aspects","Aspectos"
"info_negative_dynamics","Negativní dynamika","Negative dynamics","Dynamiques négatives","Dinámicas negativas"
"info_negative_elements","Živlu","Elements","Éléments","Elementos"
"info_negative_houses","V domech","Houses","Maisons","Casas"
"info_negative_quality_signs","Kvalita znamení","Sign quality","Qualité des signes","Cualidad de signos"
"info_planetary_configuration","Planetární konfigurace","Planetary configuration","Configuration planétaire","Configuración planetaria"
"info_planets_abstract_points","Planety v kontaktu s abstraktními body","Planets and abstract points","Planètes et points abstraits","Planetas y puntos abstractos"
"info_positive_dominances","Převahy pozitivní","Positive dominances","Dominances positives","Dominancias positivas"
"info_quadrant_division","Rozdělení v kvadrantech","Quadrant division","Division en quadrants","División por cuadrantes"
"info_sabian_symbols","Sabiánské symboly","Sabian symbols","Symboles sabian","Símbolos sabianos"
"info_singleton","Singlton","Singleton","Singleton","Singleton"
"info_singleton_hemisphere","Singlton v hemisféře","Singleton in hemisphere","Singleton en hémisphère","Singleton en hemisferio"
"info_stellium","Stellium","Stellium","Stellium","Stellium"
"info_sun_moon_horizon","Slunce a Luna (obzor)","Sun and Moon (horizon)","Soleil et Lune (horizon)","Sol y Luna (horizonte)"
"info_trigger_planet","Planeta spouštěcí","Trigger planet","Planète déclenchante","Planeta disparador"
"info_unaspect_planets","Neaspektované planety","Unaspected planets","Planètes sans aspect","Planetas sin aspecto"
"info_venus","Venuše","Venus","Vénus","Venus"
"label_color_preset","Barevné přednastavení","Color preset","Thème de couleur","Tema de color"
"label_languages","Jazyky","Languages","Langues","Idiomas"
"label_orb","Orb","Orb","Orb","Orb"
"label_themes","Motivy","Themes","Thèmes","Temas"
"language","Jazyk","Language","Langue","Idioma"
"list_items","Kontexty","Contexts","Contextes","Contextos"
"load","Načíst uložený horoskop","Load","Charger","Cargar"
"loading_positions","Načítání pozic…","Loading positions…","Chargement des positions…","Cargando posiciones…"
"measuring_space","Měření dostupného prostoru…","Measuring available space…","Mesure de l'espace…","Midiendo espacio…"
"no_positions_yet","Zatím nejsou vypočítány žádné pozice.","No positions computed yet.","Aucune position calculée pour l'instant.","Aún no se han calculado posiciones."
"mode_view_description","Použijte střední panel pro zobrazení {mode}.","Use the center panel for {mode} view.","Utilisez le panneau central pour la vue {mode}.","Use el panel central para la vista {mode}."
"new","Nový horoskop","New","Nouveau","Nuevo"
"new_back","Zpět","Back","Retour","Volver"
"new_context_placeholder","např. Jan Novák","e.g. John Doe","ex. Jean Dupont","ej. Juan Pérez"
"new_create_submit","Vytvořit horoskop","Create chart","Créer le thème","Crear carta"
"new_date","Datum","Date","Date","Fecha"
"new_dir_east","Východní","East","Est","Este"
"new_dir_north","Severní","North","Nord","Norte"
"new_dir_south","Jižní","South","Sud","Sur"
"new_dir_west","Západní","West","Ouest","Oeste"
"new_location","Lokace","Location","Lieu","Lugar"
"new_location_regime","Režim lokace","Location regime","Régime de lieu","Régimen de ubicación"
"new_location_search","fulltextově","Search","Recherche","Búsqueda"
"new_name","Název Horoskopu","Name","Nom","Nombre"
"new_placeholder_any_location","Jakákoliv vyhledatelná lokalita…","Any searchable location…","N’importe quel lieu recherchable…","Cualquier ubicación buscable…"
"new_radix","Nový Radix","New Radix","Nouveau Radix","Nuevo Radix"
"new_radix_title","Nový Radix","New Radix","Nouveau Radix","Nuevo Radix"
"new_resolve_location","Najít souřadnice","Resolve","Résoudre","Resolver"
"new_resolving_location","Hledám…","Resolving…","Résolution…","Resolviendo…"
"new_tags","Tag","Tags","Tags","Etiquetas"
"new_tags_comma_hint","Oddělujte čárkou…","Separate with commas…","Séparer par des virgules…","Separar con comas…"
"new_roden_rating","Rodenovo hodnocení","Roden Rating","Cote Roden","Clasificación Roden"
"new_roden_rating_placeholder","Vyberte hodnocení…","Select rating…","Sélectionner une cote…","Seleccionar clasificación…"
"new_roden_rating_aa","Ověřený čas (dokument)","Verified time (document)","Heure vérifiée (document)","Hora verificada (documento)"
"new_roden_rating_a","Ověřený čas (osobní zdroj)","Verified time (personal source)","Heure vérifiée (source personnelle)","Hora verificada (fuente personal)"
"new_roden_rating_b","Biografický zdroj","Biography source","Source biographique","Fuente biográfica"
"new_roden_rating_c","Nejistý záznam","Uncertain record","Enregistrement incertain","Registro incierto"
"new_roden_rating_dd","Neplatná data","Not valid data","Données non valides","Datos no válidos"
"new_roden_rating_x","Neznámý čas","Unknown time","Heure inconnue","Hora desconocida"
"new_time","Čas","Time","Heure","Hora"
"new_type","Typ horoskopu","Type","Type","Tipo"
"new_type_composite","Kompozitní","Composite","Composite","Compuesta"
"new_type_event","Událost","Event","Événement","Evento"
"new_type_horary","Horární","Horary","Horaire","Horaria"
"new_type_radix","Nativita","Nativity","Nativité","Natividad"
"new_time_regime","Časový režim","Time regime","Régime horaire","Régimen horario"
"new_time_regime_auto","Automaticky","Auto","Auto","Auto"
"new_time_regime_manual","Ručně","Manual","Manuel","Manual"
"new_time_system","Definice data a času","Date and time definition","Définition de la date et de l’heure","Definición de fecha y hora"
"new_time_system_gregorian","Gregoriánský kalendář","Gregorian calendar","Calendrier grégorien","Calendario gregoriano"
"new_time_system_julian_calendar","Juliánský kalendář","Julian calendar","Calendrier julien","Calendario juliano"
"new_time_system_julian_day","Juliánské datum (JD)","Julian Day (JD)","Jour julien (JJ)","Día juliano (JD)"
"new_julian_day","Juliánské datum","Julian Day","Jour julien","Día juliano"
"new_julian_calendar_date","Datum v juliánském kalendáři","Julian calendar date","Date du calendrier julien","Fecha del calendario juliano"
"new_manual_time_details","Ručně nastavený čas","Manual time details","Détails horaires manuels","Detalles manuales de hora"
"new_home_location_details","Detaily domovské lokace","Home location details","Détails du lieu de référence","Detalles de ubicación base"
"new_timezone_region","Region časového pásma","Timezone region","Région du fuseau horaire","Región de zona horaria"
"new_timezone","Časové pásmo","Timezone","Fuseau horaire","Zona horaria"
"new_utc_offset","Posun UTC","UTC offset","Décalage UTC","Desfase UTC"
"new_timezone_no_results","Nenalezeno žádné časové pásmo.","No timezone found.","Aucun fuseau horaire trouvé.","No se encontró ninguna zona horaria."
"new_utc_shift_definition","Definice posunu UTC","UTC shift definition","Définition du décalage UTC","Definición del desfase UTC"
"new_timezone_placeholder","Europe/Prague nebo UTC+01:00","Europe/Prague or UTC+01:00","Europe/Prague ou UTC+01:00","Europe/Prague o UTC+01:00"
"open_chart","Otevřít Horoskop","Open Chart","Ouvrir Carte","Abrir Carta"
"open_filter_aspects","Aspekty","Aspects","Aspects","Aspectos"
"open_filter_chart_type","Typ horoskopu","Chart type","Type de thème","Tipo de carta"
"open_filter_tag_fulltext","Fulltextové vyhledávání tagů","Fulltext tag search","Recherche plein texte des tags","Búsqueda de texto completo en etiquetas"
"open_filter_content_search","Obsahové vyhledávání","Content search","Recherche dans le contenu","Búsqueda de contenido"
"open_filter_location_fulltext","Fulltextové vyhledávání lokací a států","Fulltext location and country search","Recherche plein texte des lieux et pays","Búsqueda de texto completo de lugares y países"
"open_filter_planet","Planeta","Planet","Planète","Planeta"
"open_filter_aspect","Aspekt","Aspect","Aspect","Aspecto"
"open_filter_add_condition","Přidat podmínku","Add condition","Ajouter une condition","Añadir condición"
"open_filter_remove_condition","Odebrat podmínku","Remove condition","Supprimer la condition","Eliminar condición"
"open_filter_chart_shape","Tvar horoskopu","Horoscope shape","Forme du thème","Forma de la carta"
"open_filter_degree","Stupeň","Degree","Degré","Grado"
"open_filter_house","Dům","House","Maison","Casa"
"open_filter_houses","Domy","Houses","Maisons","Casas"
"open_filter_motion","Pohyb","Motion","Mouvement","Movimiento"
"open_filter_planets","Planety","Planets","Planètes","Planetas"
"open_filter_sign","Znamení","Sign","Signe","Signo"
"open_date_day","Den","Day","Jour","Día"
"open_date_month","Měsíc","Month","Mois","Mes"
"open_date_year","Rok","Year","Année","Año"
"open_date_hour","Hodina","Hour","Heure","Hora"
"open_date_minute","Minuta","Minute","Minute","Minuto"
"open_date_second","Sekunda","Second","Seconde","Segundo"
"open_mode_database","Databáze osobností","Persons Database","Base de Données des Personnes","Base de Datos de Personas"
"open_mode_history","Historie","History","Historique","Historial"
"open_mode_my_radixes","Moje Nativity","My Radixes","Mes Radixes","Mis Radixes"
"open_type_transit","Tranzit","Transit","Transit","Tránsito"
"open_type_primary_direction","Primární direkce","Primary direction","Direction primaire","Dirección primaria"
"open_type_secondary_direction","Sekundární direkce","Secondary direction","Direction secondaire","Dirección secundaria"
"open_type_solar","Solár","Solar return","Révolution solaire","Revolución solar"
"open_type_lunar","Lunár","Lunar return","Révolution lunaire","Revolución lunar"
"open_type_synastry","Synastrie","Synastry","Synastrie","Sinastría"
"open_shape_bundle","Ranec","Bundle","Faisceau","Haz"
"open_shape_bowl","Miska","Bowl","Bol","Cuenco"
"open_shape_bowl_east","Východní miska","Eastern bowl","Bol oriental","Cuenco oriental"
"open_shape_bowl_west","Západní miska","Western bowl","Bol occidental","Cuenco occidental"
"open_shape_bowl_day","Denní miska","Day bowl","Bol diurne","Cuenco diurno"
"open_shape_bowl_night","Noční miska","Night bowl","Bol nocturne","Cuenco nocturno"
"open_shape_leading_planet","Vůdčí planeta","Leading planet","Planète meneuse","Planeta líder"
"open_shape_bucket","Vědro","Bucket","Seau","Cubo"
"open_shape_seesaw","Houpačka","Seesaw","Balançoire","Balancín"
"open_shape_locomotive","Lokomotiva","Locomotive","Locomotive","Locomotora"
"open_shape_splash","Rozptyl","Splash","Dispersion","Dispersión"
"open_shape_shifted_center","Posunuté těžiště (vymknutí)","Shifted center of gravity","Centre de gravité décalé","Centro de gravedad desplazado"
"open_modality_cardinal","Základní znamení","Cardinal signs","Signes cardinaux","Signos cardinales"
"open_modality_fixed","Pevné znamení","Fixed signs","Signes fixes","Signos fijos"
"open_modality_mutable","Mutuální znamení","Mutable signs","Signes mutables","Signos mutables"
"open_element_fire","Ohnivý","Fire","De feu","De fuego"
"open_element_earth","Zemský","Earth","De terre","De tierra"
"open_element_air","Vzdušný","Air","D’air","De aire"
"open_element_water","Vodní","Water","D’eau","De agua"
"open_configuration_t_square","T-kvadratura","T-square","Carré en T","Cuadratura en T"
"open_configuration_grand_cross","Velká kvadratura (kříž)","Grand cross","Grand carré (croix)","Gran cuadratura (cruz)"
"open_configuration_grand_trine","Velký trigon","Grand trine","Grand trigone","Gran trígono"
"open_configuration_hexagram","Hexagram","Hexagram","Hexagramme","Hexagrama"
"open_configuration_mystic_rectangle","Psaníčko (mystický obdélník)","Mystic rectangle","Rectangle mystique","Rectángulo místico"
"open_configuration_pentagram","Pentagram","Pentagram","Pentagramme","Pentagrama"
"open_configuration_double_quincunx","Dvojitý kvinkunx","Double quincunx","Double quinconce","Doble quincuncio"
"open_configuration_kite","Drak","Kite","Cerf-volant","Cometa"
"open_configuration_kite_fire","Ohnivý drak","Fire kite","Cerf-volant de feu","Cometa de fuego"
"open_configuration_kite_earth","Zemský drak","Earth kite","Cerf-volant de terre","Cometa de tierra"
"open_configuration_kite_air","Vzdušný drak","Air kite","Cerf-volant d’air","Cometa de aire"
"open_configuration_kite_water","Vodní drak","Water kite","Cerf-volant d’eau","Cometa de agua"
"open_configuration_double_biquintile","Dvojitý bikvintil","Double biquintile","Double biquintile","Doble biquintil"
"open_motion_direct","Direktní","Direct","Direct","Directo"
"open_motion_retrograde","Retrográdní","Retrograde","Rétrograde","Retrógrado"
"open_motion_stationary","Stacionární","Stationary","Stationnaire","Estacionario"
"open_search_no_results","Žádná shoda s vyhledáváním.","No matches for your search.","Aucun résultat pour cette recherche.","Sin resultados para su búsqueda."
"open_sign_aquarius","Vodnář","Aquarius","Verseau","Acuario"
"open_sign_aries","Beran","Aries","Bélier","Aries"
"open_sign_cancer","Rak","Cancer","Cancer","Cáncer"
"open_sign_capricorn","Kozoroh","Capricorn","Capricorne","Capricornio"
"open_sign_gemini","Blíženci","Gemini","Gémeaux","Géminis"
"open_sign_leo","Lev","Leo","Lion","Leo"
"open_sign_libra","Váhy","Libra","Balance","Libra"
"open_sign_pisces","Ryby","Pisces","Poissons","Piscis"
"open_sign_sagittarius","Střelec","Sagittarius","Sagittaire","Sagitario"
"open_sign_scorpio","Štír","Scorpio","Scorpion","Escorpio"
"open_sign_taurus","Býk","Taurus","Taureau","Tauro"
"open_sign_virgo","Panna","Virgo","Vierge","Virgo"
"open_table_empty","Zatím žádné horoskopy. Otevřete pracovní prostor.","No charts yet. Open a workspace.","Aucun thème pour l’instant. Ouvrez un espace de travail.","Aún no hay cartas. Abra un espacio de trabajo."
"open_workspace","Otevřít pracovní prostor","Open Workspace","Ouvrir l'espace de travail","Abrir espacio de trabajo"
"opened_contexts","Otevřené kontexty","Opened contexts","Contextes ouverts","Contextos abiertos"
"overview","Přehled","Overview","Aperçu","Resumen"
"placeholder_default_location","Zadejte výchozí lokaci...","Enter default location...","Lieu par défaut...","Ubicación por defecto..."
"placeholder_latitude","Zeměpisná šířka","Latitude","Latitude","Latitud"
"placeholder_longitude","Zeměpisná délka","Longitude","Longitude","Longitud"
"placeholder_tags_example","např. osobní, důležité","e.g. personal, important","ex. personnel, important","ej. personal, importante"
"placeholder_utc_offset","Časové pásmo (UTC)","UTC offset","Fuseau (UTC)","Zona horaria (UTC)"
"placeholder_view_body","Vyberte jinou položku v postranním panelu nebo se vraťte na hlavní přehled horoskopu.","Choose another item in the sidebar or return to the main horoscope view.","Choisissez un autre élément dans la barre latérale ou revenez à l’horoscope principal.","Elija otra opción en la barra lateral o vuelva a la vista principal del horóscopo."
"placeholder_view_subtitle","Tento pohled zatím není k dispozici","This view is not available yet","Cette vue n’est pas encore disponible","Esta vista aún no está disponible"
"placeholder_view_title","Pracovní prostor","Workspace","Espace de travail","Espacio de trabajo"
"planet_jupiter","Jupiter","Jupiter","Jupiter","Júpiter"
"planet_mars","Mars","Mars","Mars","Marte"
"planet_mercury","Merkur","Mercury","Mercure","Mercurio"
"planet_moon","Luna","Moon","Lune","Luna"
"planet_neptune","Neptun","Neptune","Neptune","Neptuno"
"planet_pluto","Pluto","Pluto","Pluton","Plutón"
"planet_saturn","Saturn","Saturn","Saturne","Saturno"
"planet_sun","Slunce","Sun","Soleil","Sol"
"planet_uranus","Uran","Uranus","Uranus","Urano"
"planet_venus","Venuše","Venus","Vénus","Venus"
"point_asc","ASC","ASC","ASC","ASC"
"point_ceres","Ceres","Ceres","Cérès","Ceres"
"point_chiron","Chiron","Chiron","Chiron","Quirón"
"point_dsc","DSC","DSC","DSC","DSC"
"point_ic","IC","IC","IC","IC"
"point_juno","Juno","Juno","Junon","Juno"
"point_lilith","Lilith","Lilith","Lilith","Lilith"
"point_mc","MC","MC","MC","MC"
"point_north_node","Severní uzel","North Node","Nœud Nord","Nodo Norte"
"point_pallas","Pallas","Pallas","Pallas","Palas"
"point_south_node","Jižní uzel","South Node","Nœud Sud","Nodo Sur"
"point_true_north_node","Pravý severní uzel","True North Node","Vrai nœud Nord","Nodo Norte verdadero"
"point_true_south_node","Pravý jižní uzel","True South Node","Vrai nœud Sud","Nodo Sur verdadero"
"point_vesta","Vesta","Vesta","Vesta","Vesta"
"point_astraea","Astrea","Astraea","Astrée","Astrea"
"point_hebe","Hebe","Hebe","Hébé","Hebe"
"point_iris","Iris","Iris","Iris","Iris"
"point_flora","Flora","Flora","Flore","Flora"
"point_metis","Metis","Metis","Métis","Metis"
"point_hygiea","Hygiea","Hygiea","Hygie","Higía"
"point_parthenope","Parthenope","Parthenope","Parthénope","Partenope"
"point_victoria","Victoria","Victoria","Victoria","Victoria"
"point_egeria","Egeria","Egeria","Égérie","Egeria"
"point_irene","Irene","Irene","Irène","Irene"
"point_eunomia","Eunomia","Eunomia","Eunomie","Eunomia"
"point_psyche","Psyché","Psyche","Psyché","Psique"
"point_thetis","Thetis","Thetis","Thétis","Tetis"
"point_melpomene","Melpomene","Melpomene","Melpomène","Melpómene"
"point_fortuna","Fortuna","Fortuna","Fortuna","Fortuna"
"point_massalia","Massalia","Massalia","Massalia","Masalia"
